Process Name,Category
System Idle Process,Unknown
System,Unknown
,Unknown
Registry,Unknown
smss.exe,Unknown
csrss.exe,Unknown
svchost.exe,Unknown
wininit.exe,Unknown
csrss.exe,Unknown
services.exe,Unknown
winlogon.exe,Unknown
LsaIso.exe,Unknown
svchost.exe,Unknown
lsass.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
AMDRSSrcExt.exe,Unknown
svchost.exe,Unknown
fontdrvhost.exe,Unknown
fontdrvhost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
dwm.exe,Unknown
svchost.exe,Unknown
Video.UI.exe,Unknown
conhost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
Spotify.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
unsecapp.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
msedgewebview2.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
backgroundTaskHost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
RtkAudUService64.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
slack.exe,Productive
svchost.exe,Unknown
dasHost.exe,Unknown
msedgewebview2.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
XboxGameBarWidgets.exe,Unknown
msedgewebview2.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
OmenCap.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
NVDisplay.Container.exe,Unknown
atiesrxx.exe,Unknown
amdfendrsr.exe,Unknown
svchost.exe,Unknown
Spotify.exe,Unknown
msteams.exe,Unproductive
NVDisplay.Container.exe,Unknown
AMDRSServ.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
WmiPrvSE.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
atieclxx.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
TouchpointAnalyticsClientService.exe,Unknown
AppHelperCap.exe,Unknown
DiagsCap.exe,Unknown
NetworkCap.exe,Unknown
SysInfoCap.exe,Unknown
MemCompression,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
conhost.exe,Unknown
opera.exe,Productive
svchost.exe,Unknown
hp-one-agent-service.exe,Unknown
unsecapp.exe,Unknown
svchost.exe,Unknown
sihost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
taskhostw.exe,Unknown
OverlayHelper.exe,Unknown
OmenInstallMonitor.exe,Unknown
SystemOptimizer.exe,Unknown
audiodg.exe,Unknown
svchost.exe,Unknown
opera.exe,Productive
explorer.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
opera.exe,Productive
uihost.exe,Unknown
svchost.exe,Unknown
python.exe,Productive
nisvcloc.exe,Unknown
svchost.exe,Unknown
nvcontainer.exe,Unknown
SearchIndexer.exe,Unknown
msedge.exe,Unknown
svchost.exe,Unknown
opera.exe,Productive
NVIDIA Web Helper.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
spoolsv.exe,Unknown
nvcontainer.exe,Unknown
conhost.exe,Unknown
wlanext.exe,Unknown
conhost.exe,Unknown
svchost.exe,Unknown
msedge.exe,Unknown
svchost.exe,Unknown
OfficeClickToRun.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
ETDService.exe,Unknown
nvcontainer.exe,Unknown
HPCommRecovery.exe,Unknown
svchost.exe,Unknown
HPPrintScanDoctorService.exe,Unknown
svchost.exe,Unknown
servicehost.exe,Unknown
niauth_daemon.exe,Unknown
lkads.exe,Unknown
SECOMN64.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
MsMpEng.exe,Unknown
lktsrv.exe,Unknown
nidmsrv.exe,Unknown
StartMenuExperienceHost.exe,Unknown
ETDCtrl.exe,Unknown
svchost.exe,Unknown
nimdnsResponder.exe,Unknown
SystemSettingsBroker.exe,Unknown
svchost.exe,Unknown
pycharm64.exe,Productive
SECOCL64.exe,Unknown
niDiscSvc.exe,Unknown
SearchHost.exe,Unknown
rundll32.exe,Unknown
RtkAudUService64.exe,Unknown
pycharm64.exe,Productive
Widgets.exe,Unknown
RuntimeBroker.exe,Unknown
opera.exe,Productive
svchost.exe,Unknown
RuntimeBroker.exe,Unknown
Spotify.exe,Unknown
MathWorksServiceHost-Monitor.exe,Unknown
python.exe,Productive
AggregatorHost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
opera.exe,Productive
ONENOTEM.EXE,Unknown
SecurityHealthSystray.exe,Unknown
dllhost.exe,Unknown
WidgetService.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
NVIDIA Share.exe,Unknown
XboxPcAppFT.exe,Unknown
slack.exe,Productive
ctfmon.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
pycharm64.exe,Productive
LocationNotificationWindows.exe,Unknown
OmenCommandCenterBackground.exe,Unknown
NisSrv.exe,Unknown
PhoneExperienceHost.exe,Unknown
msedge.exe,Unknown
NVIDIA Share.exe,Unknown
RuntimeBroker.exe,Unknown
TextInputHost.exe,Unknown
SecurityHealthService.exe,Unknown
nvsphelper64.exe,Unknown
NVIDIA Share.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
svchost.exe,Unknown
opera_crashreporter.exe,Productive
vgtray.exe,Unknown
PenTablet.exe,Unknown
msedge.exe,Unknown
OneDrive.exe,Productive
msedge.exe,Unknown
msedge.exe,Unknown
SearchProtocolHost.exe,Unknown
svchost.exe,Unknown
msedge.exe,Unknown
msedge.exe,Unknown
Spotify.exe,Unknown
svchost.exe,Unknown
msedge.exe,Unknown
SearchFilterHost.exe,Unknown
steam.exe,Unproductive
steamwebhelper.exe,Unproductive
Spotify.exe,Unknown
steamwebhelper.exe,Unproductive
steamservice.exe,Unproductive
steamwebhelper.exe,Unproductive
steamwebhelper.exe,Unproductive
opera.exe,Productive
opera.exe,Productive
steamwebhelper.exe,Unproductive
RuntimeBroker.exe,Unknown
steamwebhelper.exe,Unproductive
HPSystemEventUtilityHost.exe,Unknown
svchost.exe,Unknown
opera.exe,Productive
msedge.exe,Unknown
cncmd.exe,Unknown
pycharm64.exe,Productive
opera.exe,Productive
opera.exe,Productive
pycharm64.exe,Productive
msedgewebview2.exe,Unknown
svchost.exe,Unknown
EpicWebHelper.exe,Unproductive
HPSystemEventUtilityBackground.exe,Unknown
conhost.exe,Unknown
EpicGamesLauncher.exe,Unproductive
msedge.exe,Unknown
slack.exe,Productive
full-line-inference.exe,Unknown
RuntimeBroker.exe,Unknown
opera.exe,Productive
opera.exe,Productive
ShellExperienceHost.exe,Unknown
EpicWebHelper.exe,Unproductive
steamwebhelper.exe,Unproductive
RuntimeBroker.exe,Unknown
opera.exe,Productive
DesktopExtension.exe,Unknown
opera.exe,Productive
jusched.exe,Unknown
RuntimeBroker.exe,Unknown
fsnotifier.exe,Unknown
conhost.exe,Unknown
TouchpointGpuInfo.exe,Unknown
svchost.exe,Unknown
RadeonSoftware.exe,Unknown
opera.exe,Productive
svchost.exe,Unknown
dasHost.exe,Unknown
MathWorksServiceHost.exe,Unknown
Spotify.exe,Unknown
RuntimeBroker.exe,Unknown
svchost.exe,Unknown
slack.exe,Productive
slack.exe,Productive
svchost.exe,Unknown
RuntimeBroker.exe,Unknown
opera.exe,Productive
HP.myHP.exe,Unknown
msedgewebview2.exe,Unknown
msedgewebview2.exe,Unknown
opera.exe,Productive
nierserver.exe,Unknown
msedgewebview2.exe,Unknown
msedgewebview2.exe,Unknown
msedgewebview2.exe,Unknown
msedgewebview2.exe,Unknown
msedgewebview2.exe,Unknown
msedgewebview2.exe,Unknown
Rainmeter.exe,Unknown
BridgeCommunication.exe,Unknown
RuntimeBroker.exe,Unknown
BridgeCommunication.exe,Unknown
